Model,Condition,Coverage [%],Unclear [%],Invalid [%],Macro F1,Fleiss' kappa,With quote [%],With mechanically valid quote [%],Macro F1 (mechanically-valid only),Correct and mechanically-valid [%],Citation Jaccard
GPT-5.2,Baseline,86.2,13.8,0.0,0.910,0.969,,,,,
,Evidence Required,84.3,15.7,0.0,0.916,0.967,84.3,83.3,0.917,77.0,0.896
Gemini 3 Flash,Baseline,98.3,0.2,1.5,0.933,0.891,,,,,
,Evidence Required,92.8,2.2,5.0,0.945,0.829,93.8,91.2,0.946,86.2,0.664
Claude Opus 4.5,Baseline,96.0,3.8,0.2,0.828,0.905,,,,,
,Evidence Required,94.5,5.5,0.0,0.777,0.928,94.5,91.2,0.774,70.8,0.897
